condominio;quartos;suites;vagas;area;bairro;atualizacao;preco;distancia;pm2
550;3;1.0;1.0;85;4;17;348000;99.0;4094.12
700;3;1.0;1.0;90;4;12;669000;99.0;7433.33
1113;3;1.0;2.0;120;4;0;749000;99.0;6241.67
890;3;1.0;2.0;130;4;0;700000;99.0;5384.62
780;3;1.0;1.0;89;4;1;530000;99.0;5955.06
400;3;1.0;1.0;114;4;3;650000;99.0;5701.75
560;3;0.0;0.0;93;4;0;370000;99.0;3978.49
200;3;1.0;1.0;110;4;6;580000;99.0;5272.73
620;3;1.0;1.0;130;4;3;650000;99.0;5000.0
400;1;1.0;1.0;25;5;3;520000;0.48;20800.0
556;1;1.0;1.0;35;5;1;880000;0.14;25142.86
500;1;1.0;1.0;35;5;0;905000;0.14;25857.14
1200;1;1.0;1.0;81;5;1;1999000;0.5;24679.01
520;1;1.0;1.0;40;5;0;840000;0.29;21000.0
1400;1;1.0;1.0;56;5;1;1080000;0.36;19285.71
460;1;1.0;1.0;39;5;1;1800000;99.0;46153.85
620;1;1.0;2.0;75;5;2;1600000;0.29;21333.33
600;1;0.0;0.0;30;5;3;499000;0.31;16633.33
500;1;1.0;1.0;52;5;22;620000;0.48;11923.08
700;1;1.0;1.0;50;5;3;700000;99.0;14000.0
1518;1;1.0;1.0;65;5;3;1300000;99.0;20000.0
600;1;1.0;1.0;55;5;2;1300000;0.31;23636.36
800;1;1.0;1.0;55;5;0;1000000;0.24;18181.82
650;1;1.0;1.0;60;5;0;950000;0.53;15833.33
400;1;1.0;1.0;32;5;2;950000;99.0;29687.5
400;1;1.0;1.0;30;5;2;870000;99.0;29000.0
650;1;1.0;1.0;50;5;2;779000;0.3;15580.0
700;1;1.0;1.0;25;5;1;735000;0.38;29400.0
500;1;1.0;1.0;30;5;1;699990;0.47;23333.0
550;1;1.0;1.0;36;5;25;649000;0.67;18027.78
1800;1;1.0;1.0;50;5;12;1350000;0.16;27000.0
714;1;1.0;1.0;40;5;0;700000;0.37;17500.0
800;2;1.0;1.0;100;5;2;1450000;99.0;14500.0
1642;2;1.0;1.0;93;5;2;1700000;11.71;18279.57
3570;2;2.0;1.0;90;5;1;2729000;11.76;30322.22
790;2;1.0;1.0;75;5;2;1350000;10.97;18000.0
800;2;1.0;1.0;115;5;2;1650000;11.71;14347.83
1090;2;1.0;1.0;60;5;2;1050000;8.69;17500.0
850;2;1.0;1.0;80;5;0;1300000;9.95;16250.0
606;2;1.0;1.0;66;5;0;1200000;8.69;18181.82
472;2;1.0;1.0;70;5;0;820000;0.46;11714.29
1885;2;1.0;2.0;147;5;5;3950000;1334.47;26870.75
900;2;1.0;1.0;80;5;18;1560000;0.5;19500.0
452;2;1.0;1.0;90;5;2;1380000;11.71;15333.33
800;2;1.0;2.0;82;5;0;1100000;35.46;13414.63
4059;2;2.0;1.0;86;5;2;4200000;0.58;48837.21
735;2;1.0;1.0;70;5;4;890000;11.71;12714.29
700;2;1.0;1.0;70;5;16;900000;0.17;12857.14
800;2;1.0;1.0;75;5;0;1150000;0.39;15333.33
4190;2;1.0;1.0;110;5;3;5300000;0.31;48181.82
814;2;1.0;1.0;82;5;0;1500000;0.61;18292.68
1300;2;1.0;1.0;130;5;2;1390000;0.35;10692.31
700;2;1.0;1.0;78;5;3;1100000;0.1;14102.56
430;2;1.0;1.0;76;5;2;840000;733.68;11052.63
850;2;1.0;2.0;83;5;2;1900000;0.53;22891.57
900;2;1.0;1.0;70;5;1;1350000;0.59;19285.71
1007;2;1.0;1.0;68;5;1;1280000;9.04;18823.53
1200;2;1.0;1.0;60;5;1;1300000;0.39;21666.67
1500;2;1.0;1.0;61;5;0;950000;11.43;15573.77
555;2;1.0;1.0;76;5;0;1250000;0.7;16447.37
978;2;1.0;1.0;60;5;9;1180000;9.84;19666.67
1050;3;1.0;1.0;134;5;2;950000;1.28;7089.55
3300;3;1.0;3.0;325;5;24;9000000;0.6;27692.31
990;3;1.0;1.0;110;5;0;1580000;99.0;14363.64
1450;3;3.0;1.0;120;5;0;1700000;0.25;14166.67
1530;3;1.0;1.0;200;5;2;2300000;9.23;11500.0
2500;3;3.0;1.0;280;5;0;7400000;0.09;26428.57
2350;3;2.0;1.0;205;5;1;3699000;0.49;18043.9
1310;3;3.0;1.0;172;5;6;5900000;733.68;34302.33
1500;3;1.0;1.0;124;5;0;2500000;0.6;20161.29
2480;3;1.0;2.0;160;5;1;3350000;0.44;20937.5
1215;3;1.0;1.0;105;5;0;1050000;0.42;10000.0
1700;3;1.0;1.0;130;5;1;2400000;733.68;18461.54
4600;3;1.0;2.0;350;5;0;13600000;1334.47;38857.14
1300;3;1.0;1.0;100;5;3;1850000;0.53;18500.0
2100;3;1.0;2.0;165;5;12;3450000;0.58;20909.09
1600;3;1.0;1.0;110;5;0;1850000;0.54;16818.18
994;3;3.0;1.0;138;5;2;1500000;0.12;10869.57
1400;3;1.0;2.0;140;5;0;1730000;0.45;12357.14
2988;3;2.0;3.0;180;5;0;3600000;1.11;20000.0
1600;3;1.0;1.0;201;5;1;2275000;8.69;11318.41
2800;3;2.0;1.0;186;5;0;5200000;0.58;27956.99
1204;3;1.0;1.0;123;5;3;1580000;0.31;12845.53
2000;3;1.0;1.0;130;5;1;2900000;0.7;22307.69
